council_lead,fmp,stock_orig,species,no_cap_text,individual_holdings_cap,catcher_processor_holdings_cap,vessel_holdings_cap,processor_holdings_cap,crew_holdings_cap,catcher_processor_use_cap,cooperative_use_cap,processor_use_cap,individual_vessel_use_cap,individual_vessel_use_cap_text
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Walleye pollock - Eastern Bering Sea,Theragra chalcogramma,managed by Aleut Corporation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Northeast Multispecies,Winter flounder - Georges Bank,Pseudopleuronectes americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NPFMC,Scallop Fishery off Alaska,Weathervane scallop - Alaska,Patinopecten caurinus,no caps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPFMC,NA,NA,NA,no caps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFMC,Atlantic Sea Scallop,Sea scallop - Northwestern Atlantic Coast,Placopecten magellanicus,NA,5.00,NA,NA,NA,NA,NA,NA,NA,2.50,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Walleye pollock - Eastern Bering Sea,Theragra chalcogramma,NA,NA,NA,NA,30.00,NA,NA,NA,NA,17.50,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Walleye pollock - Eastern Bering Sea,Theragra chalcogramma,NA,NA,NA,NA,30.00,NA,NA,NA,NA,17.50,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Walleye pollock - Eastern Bering Sea,Theragra chalcogramma,NA,NA,NA,NA,30.00,NA,NA,NA,NA,17.50,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Atka mackerel - Bering Sea / Aleutian Islands,Pleurogrammus monopterygius,NA,30.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Flathead Sole Complex,"Hippoglossoides elassodon, Hippoglossoides robustus",NA,30.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Bering Sea / Aleutian Islands Rock Sole Complex,"Lepidopsetta billineta, Lepidopsetta polyxystra",NA,30.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Aleutian Islands,Gadus macrocephalus,NA,30.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Bering Sea,Gadus macrocephalus,NA,30.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific ocean perch - Bering Sea / Aleutian Islands,Sebastes alutus,NA,30.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Yellowfin sole - Bering Sea / Aleutian Islands,Limanda aspera,NA,30.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Red king crab - Bristol Bay,Paralithodes camtschaticus,NA,1.00,NA,NA,NA,2.00,NA,NA,NA,2.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Snow crab - Bering Sea,Chionoecetes opilio,NA,1.00,NA,NA,NA,2.00,NA,NA,NA,2.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Southern Tanner crab - Bering Sea,Chionoecetes bairdi,NA,1.00,NA,NA,NA,2.00,NA,NA,NA,2.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Blue king crab - Pribilof Islands,Paralithodes platypus,NA,2.00,NA,NA,NA,4.00,NA,NA,NA,4.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Blue king crab - Saint Matthew Island,Paralithodes platypus,NA,2.00,NA,NA,NA,4.00,NA,NA,NA,4.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Red king crab - Pribilof Islands,Paralithodes camtschaticus,NA,2.00,NA,NA,NA,4.00,NA,NA,NA,4.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Golden king crab - Aleutian Islands,Lithodes aequispinus,NA,10.00,NA,NA,60.00,20.00,NA,NA,NA,20.00,NA
NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs,Red king crab - Western Aleutian Islands,Paralithodes camtschaticus,NA,10.00,NA,NA,60.00,20.00,NA,NA,NA,20.00,NA
NPFMC,Groundfish of the Gulf of Alaska,Dusky rockfish - Gulf of Alaska,Sebastes ciliatus,NA,4.00,40.00,NA,30.00,NA,60.00,30.00,NA,8.00,NA
NPFMC,Groundfish of the Gulf of Alaska,Gulf of Alaska Blackspotted and Rougheye Rockfish Complex,"Sebastes melanostictus, Sebastes aleutianus",NA,4.00,40.00,NA,30.00,NA,60.00,30.00,NA,8.00,NA
NPFMC,Groundfish of the Gulf of Alaska,Gulf of Alaska Thornyhead Rockfish Complex,"Sebastolobus alascanus, Sebastolobus altivelis, Sebastolobus macrochir",NA,4.00,40.00,NA,30.00,NA,60.00,30.00,NA,8.00,NA
NPFMC,Groundfish of the Gulf of Alaska,Northern rockfish - Western / Central Gulf of Alaska,Sebastes polyspinis,NA,4.00,40.00,NA,30.00,NA,60.00,30.00,NA,8.00,NA
NPFMC,Groundfish of the Gulf of Alaska,Pacific ocean perch - Gulf of Alaska,Sebastes alutus,NA,4.00,40.00,NA,30.00,NA,60.00,30.00,NA,8.00,NA
NPFMC,Groundfish of the Gulf of Alaska,Shortraker rockfish - Gulf of Alaska,Sebastes borealis,NA,4.00,40.00,NA,30.00,NA,60.00,30.00,NA,8.00,NA
MAFMC,Tilefish,Golden tilefish - Mid-Atlantic Coast,Lopholatilus chamaeleonticeps,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.00,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gag - Gulf of Mexico,Mycteroperca microlepis,NA,2.30,NA,NA,NA,NA,NA,NA,NA,2.30,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Deep Water Grouper Complex,"Hyporthodus nigritus, Hyporthodus niveatus, Hyporthodus flavolimbatus, Epinephelus drummondhayi",NA,14.70,NA,NA,NA,NA,NA,NA,NA,14.70,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Shallow Water Grouper Complex,"Mycteroperca phenax, Mycteroperca interstitialis, Mycteroperca bonaci, Mycteroperca venenosa",NA,7.30,NA,NA,NA,NA,NA,NA,NA,7.30,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Gulf of Mexico Tilefishes Complex,"Caulolatilus chrysops, Caulolatilus microps",NA,12.20,NA,NA,NA,NA,NA,NA,NA,12.20,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Red grouper - Gulf of Mexico,Epinephelus morio,NA,4.30,NA,NA,NA,NA,NA,NA,NA,4.30,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Tilefish - Gulf of Mexico,Lopholatilus chamaeleonticeps,NA,12.20,NA,NA,NA,NA,NA,NA,NA,12.20,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Yellowedge grouper - Gulf of Mexico,Hyporthodus flavolimbatus,NA,14.70,NA,NA,NA,NA,NA,NA,NA,14.70,NA
Atlantic HMS,Consolidated Atlantic Highly Migratory Species,Bluefin tuna - Western Atlantic,Thunnus thynnus,NA,25.00,NA,NA,NA,NA,NA,NA,NA,25.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area / Groundfish of the Gulf of Alaska,Sablefish - Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Anoplopoma fimbria,NA,1.00,NA,1.00,NA,NA,NA,NA,NA,1.00,NA
NEFMC,Northeast Multispecies,Acadian redfish - Gulf of Maine / Georges Bank,Sebastes fasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,American plaice - Gulf of Maine / Georges Bank,Hippoglossoides platessoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Atlantic cod - Georges Bank,Gadus morhua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Atlantic cod - Gulf of Maine,Gadus morhua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Haddock - Georges Bank,Melanogrammus aeglefinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Haddock - Gulf of Maine,Melanogrammus aeglefinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Pollock - Gulf of Maine / Georges Bank,Pollachius virens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,White hake - Gulf of Maine / Georges Bank,Urophycis tenuis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Winter flounder - Gulf of Maine,Pseudopleuronectes americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Winter flounder - Southern New England / Mid-Atlantic,Pseudopleuronectes americanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Witch flounder - Northwestern Atlantic Coast,Glyptocephalus cynoglossus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Yellowtail flounder - Cape Cod / Gulf of Maine,Limanda ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Yellowtail flounder - Georges Bank,Limanda ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NEFMC,Northeast Multispecies,Yellowtail flounder - Southern New England / Mid-Atlantic,Limanda ferruginea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5% permits & weight caps
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Aleutian Islands,Gadus macrocephalus,NA,5.00,NA,NA,20.00,NA,NA,NA,20.00,5.00,NA
NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area,Pacific cod - Bering Sea,Gadus macrocephalus,NA,5.00,NA,NA,20.00,NA,NA,NA,20.00,5.00,NA
GMFMC,Reef Fish Resources of the Gulf of Mexico,Red snapper - Gulf of Mexico,Lutjanus campechanus,NA,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAFMC,Atlantic Surfclam and Ocean Quahog,Atlantic surfclam - Mid-Atlantic Coast,Spisula solidissima,NA,35.00,NA,NA,NA,NA,NA,NA,NA,NA,65 annual cage tags
MAFMC,Atlantic Surfclam and Ocean Quahog,Ocean quahog - Atlantic Coast,Arctica islandica,NA,40.00,NA,NA,NA,NA,NA,NA,NA,NA,70 annual cage tags
PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Anoplopoma fimbria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 permits per vessel
PFMC,Pacific Coast Groundfish,Dover sole - Pacific Coast,Microstomus pacificus,NA,2.60,NA,NA,NA,NA,NA,NA,NA,3.90,NA
PFMC,Pacific Coast Groundfish,Petrale sole - Pacific Coast,Eopsetta jordani,NA,3.00,NA,NA,NA,NA,NA,NA,NA,4.50,NA
PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Anoplopoma fimbria,NA,3.00,NA,NA,NA,NA,NA,NA,NA,4.50,NA
PFMC,Pacific Coast Groundfish,Lingcod - Northern Pacific Coast,Ophiodon elongatus,NA,2.50,NA,NA,NA,NA,NA,NA,NA,5.30,NA
PFMC,Pacific Coast Groundfish,Pacific ocean perch - Pacific Coast,Sebastes alutus,NA,4.00,NA,NA,NA,NA,NA,NA,NA,6.00,NA
PFMC,Pacific Coast Groundfish,Darkblotched rockfish - Pacific Coast,Sebastes crameri,NA,4.50,NA,NA,NA,NA,NA,NA,NA,6.80,NA
PFMC,Pacific Coast Groundfish,English sole - Pacific Coast,Parophrys vetulus,NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish North,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Minor Slope Rockfish North,"Sebastes aurora, Sebastes rufus, Sebastes melanostomus, Sebastes crameri, Sebastes alutus, Sebastes babcocki, Sebastes aleutianus, Sebastes zacentrus, Sebastes borealis, Sebastes diploproa, Sebastes reedi",NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Yellowtail rockfish - Northern Pacific Coast,Sebastes flavidus,NA,5.00,NA,NA,NA,NA,NA,NA,NA,7.50,NA
PFMC,Pacific Coast Groundfish,Widow rockfish - Pacific Coast,Sebastes entomelas,NA,5.10,NA,NA,NA,NA,NA,NA,NA,8.50,NA
PFMC,Pacific Coast Groundfish,Longspine thornyhead - Pacific Coast,Sebastolobus altivelis,NA,6.00,NA,NA,NA,NA,NA,NA,NA,9.00,NA
PFMC,Pacific Coast Groundfish,Minor Slope Rockfish South,"Sebastes aurora, Sebastes rufus, Sebastes melanostomus, Sebastes crameri, Sebastes alutus, Sebastes babcocki, Sebastes aleutianus, Sebastes zacentrus, Sebastes borealis, Sebastes diploproa, Sebastes reedi",NA,6.00,NA,NA,NA,NA,NA,NA,NA,9.00,NA
PFMC,Pacific Coast Groundfish,Shortspine thornyhead - Pacific Coast,Sebastolobus alascanus,NA,6.00,NA,NA,NA,NA,NA,NA,NA,9.00,NA
PFMC,Pacific Coast Groundfish,Canary rockfish - Pacific Coast,Sebastes pinniger,NA,4.40,NA,NA,NA,NA,NA,NA,NA,10.00,NA
PFMC,Pacific Coast Groundfish,Yelloweye rockfish - Pacific Coast,Sebastes ruberrimus,NA,5.70,NA,NA,NA,NA,NA,NA,NA,11.40,NA
PFMC,Pacific Coast Groundfish,Lingcod - Southern Pacific Coast,Ophiodon elongatus,NA,2.50,NA,NA,NA,NA,NA,NA,NA,13.30,NA
PFMC,Pacific Coast Groundfish,Minor Shelf Rockfish South,"Sebastes paucispinis, Sebastes gilli, Sebastes pinniger, Sebastes goodei, Sebastes levis, Sebastes ciliatus, Sebastes rubrivinctus, Sebastes rosenblatti, Sebastes chlorostictus, Sebastes elongatus, Sebastes variegatus, Sebastes umbrosus, Sebastes macdonaldi, Sebastes eos, Sebastes proriger, Sebastes helvomaculatus, Sebastes rosaceus, Sebastes jordani, Sebastes brevispinis, Sebastes ovalis, Sebastes hopkinsi, Sebastes constellatus, Sebastes saxicola, Sebastes nigrocinctus, Sebastes miniatus, Sebastes entomelas, Sebastes ruberrimus, Sebastes flavidus",NA,9.00,NA,NA,NA,NA,NA,NA,NA,13.50,NA
PFMC,Pacific Coast Groundfish,Chilipepper - Southern Pacific Coast,Sebastes goodei,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Other Flatfish,"Isopsetta isolepis, Pleuronichthys decurrens, Hippoglossoides elassodon, Citharichthys sordidus, Glyptocephalus zachirus, Lepidopsetta bilineata, Psettichthys melanostictus",NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Pacific hake - Pacific Coast,Merluccius productus,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Sablefish - Pacific Coast,Anoplopoma fimbria,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Splitnose rockfish - Pacific Coast,Sebastes diploproa,NA,10.00,NA,NA,NA,NA,NA,NA,NA,15.00,NA
PFMC,Pacific Coast Groundfish,Bocaccio - Southern Pacific Coast,Sebastes paucispinis,NA,13.20,NA,NA,NA,NA,NA,NA,NA,15.40,NA
PFMC,Pacific Coast Groundfish,Cowcod - Southern California,Sebastes levis,NA,17.70,NA,NA,NA,NA,NA,NA,NA,17.70,NA
PFMC,Pacific Coast Groundfish,Arrowtooth flounder - Pacific Coast,Atheresthes stomias,NA,10.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
PFMC,Pacific Coast Groundfish,Pacific cod - Pacific Coast,Gadus macrocephalus,NA,12.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
PFMC,Pacific Coast Groundfish,Starry flounder - Pacific Coast,Platichthys stellatus,NA,10.00,NA,NA,NA,NA,NA,NA,NA,20.00,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Wreckfish - Southern Atlantic Coast,Polyprion americanus,NA,49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFMC,Snapper-Grouper Fishery of the South Atlantic Region,Wreckfish - Southern Atlantic Coast,Polyprion americanus,NA,49.00,NA,NA,NA,NA,NA,NA,NA,NA,NA